neighbor_pattern,mean,std,count
7Fe+9Ge,0.02412359550561797,1.5699530945544593,178
9Fe+8Ge,0.2306508875739645,1.8081610699204853,169
9Fe+7Ge,0.2215986842105263,1.7498479186893086,152
8Fe+9Ge,0.07320143884892087,1.6364938315122437,139
7Fe+8Ge,-0.3045,1.613776536551348,132
10Fe+7Ge,-0.08657251908396947,1.718983626496211,131
8Fe+7Ge,0.11630468749999999,1.481902982567224,128
6Fe+9Ge,0.02771074380165289,1.3761663503977064,121
8Fe+8Ge,-0.19401666666666667,1.6459791751714352,120
6Fe+8Ge,-0.041260869565217385,1.2660245492960593,115
10Fe+8Ge,0.05960714285714287,1.7134568891394701,112
5Fe+9Ge,-0.12954128440366972,1.2702116222934852,109
9Fe+9Ge,-0.14700943396226415,1.6781607023069323,106
11Fe+7Ge,0.26058947368421054,1.9066699749838822,95
7Fe+7Ge,-0.05479775280898877,1.5029174445041527,89
7Fe+10Ge,-0.20265853658536584,1.5685498706697472,82
8Fe+10Ge,0.18377941176470589,1.6778535047644638,68
5Fe+8Ge,0.12409090909090909,1.1933723608364624,66
4Fe+9Ge,-0.27603125,1.0253188117237502,64
6Fe+10Ge,0.2501269841269841,1.3292695846878624,63
5Fe+10Ge,0.10211290322580648,1.6197530787821393,62
11Fe+8Ge,-0.16793548387096777,1.9288981044650282,62
10Fe+9Ge,0.2526206896551724,1.7110614724116275,58
6Fe+7Ge,-0.1230185185185185,1.504907550482637,54
4Fe+8Ge,-0.10074999999999999,1.159569508946502,52
5Fe+11Ge,-0.3113725490196078,1.5655722910269498,51
10Fe+6Ge,0.20093333333333332,1.6600985376011435,45
11Fe+6Ge,0.14695121951219514,1.9222335179579448,41
9Fe+6Ge,-0.373275,1.576815518329952,40
12Fe+6Ge,0.03986842105263159,1.92887005392322,38
9Fe+10Ge,0.0473783783783784,1.7136768357240806,37
12Fe+7Ge,0.33559374999999997,1.9481995138501933,32
13Fe+7Ge,0.02431249999999998,2.038149911190016,32
4Fe+10Ge,-0.14193548387096774,1.4017600349913406,31
7Fe+6Ge,-0.7704666666666667,1.5936278441804181,30
6Fe+11Ge,0.17658620689655172,1.3467045629249779,29
14Fe+6Ge,-0.7223076923076923,1.7484700688140078,26
4Fe+11Ge,-0.25664000000000003,1.6276787121542138,25
11Fe+5Ge,0.005818181818181783,1.79474294846985,22
5Fe+7Ge,-0.06457142857142861,1.680306506903683,21
12Fe+8Ge,0.76215,1.7589446080563558,20
13Fe+6Ge,-0.44355,1.837814505129165,20
10Fe+5Ge,0.16626315789473683,1.8361022678521195,19
13Fe+5Ge,-0.5997777777777779,1.9166737902680921,18
8Fe+6Ge,-0.19027777777777777,1.5969773214919107,18
7Fe+11Ge,0.1521111111111111,1.3536078973873051,18
2Fe+9Ge,0.01894444444444444,0.5347522210412002,18
11Fe+9Ge,0.032999999999999995,1.8658257594710934,18
14Fe+5Ge,0.31647058823529417,1.9396676299577418,17
2Fe+10Ge,-0.03935714285714287,0.3894802467871286,14
10Fe+10Ge,0.6375384615384616,1.4717231745692199,13
3Fe+9Ge,0.03130769230769232,0.3479265690284337,13
12Fe+5Ge,-0.23338461538461536,1.8116208000232619,13
5Fe+12Ge,0.015416666666666653,1.7303782801527077,12
3Fe+11Ge,-0.20536363636363636,0.5229597064262739,11
3Fe+10Ge,-0.061363636363636356,0.34807392109357255,11
6Fe+6Ge,-0.819,1.6575296209855328,10
9Fe+5Ge,0.06066666666666662,1.6404383560499918,9
12Fe+9Ge,-0.8475555555555556,1.668651035350944,9
4Fe+7Ge,0.07050000000000002,1.2903018472988625,8
10Fe+4Ge,-1.0775,2.011992260706501,8
9Fe+11Ge,0.15725,1.9048576062267752,8
4Fe+12Ge,-0.7547142857142858,1.4784443078549059,7
14Fe+7Ge,-0.3421428571428571,2.200276908979976,7
3Fe+8Ge,0.1285714285714286,0.3554508203876954,7
8Fe+11Ge,-0.4191666666666667,1.3376650427766537,6
15Fe+6Ge,0.23500000000000004,1.864111718755075,5
10Fe+11Ge,0.38739999999999997,2.099679689857479,5
7Fe+12Ge,0.7667499999999999,1.6675253871130917,4
6Fe+12Ge,1.107,0.7477352472633613,4
15Fe+7Ge,-0.050333333333333265,1.9229254622406282,3
14Fe+8Ge,-0.5426666666666666,2.191274134683594,3
13Fe+8Ge,0.6693333333333333,2.5129907149317785,3
12Fe+10Ge,-1.2085,1.4163348827166546,2
15Fe+5Ge,-1.6079999999999999,0.984292639411674,2
5Fe+6Ge,1.5034999999999998,0.01626345596729061,2
11Fe+10Ge,0.2435,0.6851864709697645,2
14Fe+4Ge,0.1775,3.0921779541287724,2
11Fe+4Ge,2.1945,0.08838834764831845,2
13Fe+4Ge,-0.20250000000000012,3.1671312729345464,2
3Fe+12Ge,0.126,,1
8Fe+5Ge,-1.37,,1
12Fe+4Ge,0.524,,1
2Fe+11Ge,0.336,,1
13Fe+9Ge,0.134,,1
16Fe+7Ge,-0.678,,1
15Fe+8Ge,-1.918,,1
7Fe+13Ge,-0.402,,1
